c_ine;no_municipio;id_provincia;is_capital_prov;is_capital_comaut;nu_poblacion;geo_latitude_etrs89;geo_longitude_etrs89;geo_altura;geo_superficie;geo_perimetro;geo_hoja_etrs89
25153;OMELLONS, ELS;25;0;0;198;41,50184;0,9591058;385;1101;16793;0389-3
25154;OMELLS DE NA GAIA, ELS;25;0;0;127;41,50022;1,07478;563;1300;16870;0389-4,0417-2
25155;ORGANYÀ;25;0;0;796;42,21117;1,328538;560;1246;24505;0253-4
25156;OS DE BALAGUER;25;0;0;1046;41,87164;0,7183962;466;13531;86332;0327-4
25157;OSSÓ DE SIÓ;25;0;0;193;41,75462;1,158766;386;2602;28568;0361-1
25158;PALAU D'ANGLESOLA, EL;25;0;0;2191;41,65177;0,8803699;235;1236;17102;0389-1
25164;PENELLES;25;0;0;430;41,75737;0,9652945;277;2553;41929;0360-1
25165;PERAMOLA;25;0;0;348;42,05723;1,267624;568;5602;40608;0291-3
25166;PINELL DE SOLSONÈS;25;0;0;190;41,95092;1,417763;804;9097;60163;0329-2
25167;PINÓS;25;0;0;291;41,82718;1,541466;821;10444;61507;0362-1
25911;PLANS DE SIÓ, ELS;25;0;0;490;41,76229;1,197798;411;5613;47798;0361-1
25168;POAL, EL;25;0;0;667;41,67839;0,8551215;215;885;18003;0360-3
25169;POBLA DE CÉRVOLES, LA;25;0;0;209;41,36777;0,9154292;663;6198;39374;0417-3
25171;POBLA DE SEGUR, LA;25;0;0;3055;42,24756;0,9680387;526;3318;32402;0252-3
25030;PONT DE BAR, EL;25;0;0;163;42,37206;1,605275;860;4337;33222;0216-3
25173;PONT DE SUERT, EL;25;0;0;2336;42,40713;0,7395929;838;14840;83450;0213-4
25172;PONTS;25;0;0;2661;41,9178;1,18781;365;3121;34627;0329-3
25174;PORTELLA, LA;25;0;0;718;41,73835;0,6407778;259;1237;16163;0359-3
25175;PRATS I SANSOR;25;0;0;260;42,36573;1,839625;1118;621;10744;0217-3
25176;PREIXANA;25;0;0;404;41,60787;1,038151;326;2134;22503;0389-2
25177;PREIXENS;25;0;0;422;41,79411;1,051257;316;2875;29348;0360-2
25179;PRULLANS;25;0;0;264;42,37924;1,736271;1092;2114;26834;0216-4
25180;PUIGGRÒS;25;0;0;257;41,55039;0,8900055;334;982;17604;0389-3
25181;PUIGVERD D'AGRAMUNT;25;0;0;253;41,77726;1,121962;365;1702;25441;0360-2
25182;PUIGVERD DE LLEIDA;25;0;0;1398;41,54314;0,7328847;220;1258;16861;0388-4
25183;RIALP;25;0;0;675;42,44428;1,134909;728;6280;47753;0214-2
25905;RIBERA D'ONDARA;25;0;0;441;41,62514;1,342248;570;5426;51796;0390-2
25185;RIBERA D'URGELLET;25;0;0;920;42,31253;1,382985;699;10718;67244;0253-2
25186;RINER;25;0;0;280;41,94149;1,56386;606;4740;38702;0330-1
25913;RIU DE CERDANYA;25;0;0;100;42,34519;1,826127;1173;1234;18056;0217-3
25189;ROSSELLÓ;25;0;0;3278;41,69267;0,5969681;253;997;13115;0359-3
25190;SALÀS DE PALLARS;25;0;0;345;42,21221;0,9321034;571;2115;30942;0252-3
25191;SANAÜJA;25;0;0;392;41,87618;1,310832;409;3294;26932;0329-3
25196;SANT ESTEVE DE LA SARGA;25;0;0;123;42,07872;0,7640326;869;9297;47105;0289-4
25192;SANT GUIM DE FREIXENET;25;0;0;1120;41,65772;1,421929;739;2515;23893;0390-2
25197;SANT GUIM DE LA PLANA;25;0;0;182;41,76288;1,324549;553;1231;20694;0361-2
25193;SANT LLORENÇ DE MORUNYS;25;0;0;1000;42,13753;1,591045;923;461;17874;0292-1
25902;SANT MARTÍ DE RIUCORB;25;0;0;646;41,55922;1,054623;408;3483;37059;0389-4
25194;SANT RAMON;25;0;0;480;41,72434;1,357013;663;1886;19896;0361-4
25201;SARROCA DE BELLERA;25;0;0;113;42,35942;0,8809564;998;8690;54304;0214-3
25200;SARROCA DE LLEIDA;25;0;0;365;41,45854;0,5619353;199;4168;33860;0416-1
25202;SENTERADA;25;0;0;161;42,32467;0,9379609;727;3471;37976;0252-1
25035;SENTIU DE SIÓ, LA;25;0;0;417;41,80425;0,8802755;280;2954;32831;0360-1
25204;SERÒS;25;0;0;1890;41,46325;0,4102985;102;8622;58286;0415-2
25203;SEU D'URGELL, LA;25;0;0;12261;42,35771;1,46198;692;1519;27410;0215-4
25205;SIDAMON;25;0;0;759;41,62933;0,8316493;232;811;12425;0389-1
25206;SOLERÀS, EL;25;0;0;330;41,41295;0,6817379;382;1261;19875;0416-4
25207;SOLSONA;25;0;0;9131;41,99421;1,519549;664;1770;31012;0330-1
25208;SORIGUERA;25;0;0;429;42,37024;1,182185;1175;10604;65548;0215-3
25209;SORT;25;0;0;2192;42,41117;1,129864;689;10515;58804;0214-4
25210;SOSES;25;0;0;1784;41,53316;0,4873496;118;3014;27274;0388-3
25211;SUDANELL;25;0;0;873;41,5568;0,5664459;152;816;15787;0388-3
25212;SUNYER;25;0;0;332;41,52281;0,5925641;213;1249;16124;0388-3
25215;TALARN;25;0;0;562;42,18513;0,9003283;570;2785;39835;0252-3
25216;TALAVERA;25;0;0;291;41,58298;1,338576;772;3061;33284;0390-2,0390-4
25217;TÀRREGA;25;0;0;17810;41,64658;1,139354;371;8796;65456;0389-2
25218;TARRÉS;25;0;0;105;41,42266;1,019981;578;1308;18223;0417-2
25219;TARROJA DE SEGARRA;25;0;0;175;41,73049;1,274567;461;790;13345;0361-3
25220;TÉRMENS;25;0;0;1363;41,71883;0,7591515;205;2757;26549;0359-4
25221;TÍRVIA;25;0;0;132;42,51519;1,243001;990;875;13126;0182-3
25222;TIURANA;25;0;0;71;41,96831;1,240251;434;1561;22331;0329-1
25223;TORÀ;25;0;0;1224;41,81282;1,403909;446;9329;60139;0361-2
25224;TORMS, ELS;25;0;0;149;41,39405;0,7197623;478;1336;16214;0416-4
25225;TORNABOUS;25;0;0;847;41,70149;1,053875;295;2010;41211;0360-4
25227;TORRE DE CABDELLA, LA;25;0;0;764;42,42176;0,9828026;1088;16525;72856;0214-2
25226;TORREBESSES;25;0;0;300;41,42662;0,5945305;278;2782;21641;0416-1
25228;TORREFARRERA;25;0;0;4730;41,67308;0,6071747;214;2345;35565;0359-3
25907;TORREFETA I FLOREJACS;25;0;0;621;41,75444;1,273289;471;8916;90418;0361-1
25230;TORREGROSSA;25;0;0;2155;41,58095;0,8318418;230;4050;38793;0389-3
25231;TORRELAMEU;25;0;0;765;41,70469;0,7023405;201;1081;14991;0359-4
25232;TORRES DE SEGRE;25;0;0;2248;41,53508;0,5129501;119;5066;53108;0388-3
25233;TORRE-SERONA;25;0;0;387;41,67267;0,6306978;195;587;15503;0359-3
25234;TREMP;25;0;0;5847;42,16728;0,8956651;468;30229;143179;0290-1
25043;VALL DE BOÍ, LA;25;0;0;1090;42,50428;0,8022747;1096;22082;71080;0180-4
25901;VALL DE CARDÓS;25;0;0;386;42,56378;1,228272;898;5637;47021;0182-3
25238;VALLBONA DE LES MONGES;25;0;0;227;41,52529;1,089067;485;3433;33627;0389-4
25240;VALLFOGONA DE BALAGUER;25;0;0;1935;41,75234;0,8151142;231;2710;34422;0360-1
25906;VALLS D'AGUILAR, LES;25;0;0;274;42,29412;1,342322;663;12378;76467;0253-2
