c_postal;id_provincia;c_ine
25480;25;25218
37406;37;37256
36158;36;36038
18616;18;18184
11159;11;11007
22870;22;22250
31263;31;31080
08391;8;8282
09515;9;9209
23479;23;23028
28294;28;28125
16434;16;16129
31272;31;31013
08296;8;8053
09219;9;9347
37430;37;37207
40500;40;40170
46260;46;46011
05370;5;5073
27331;27;27047
33774;33;33063
20215;20;20025
33194;33;33044
09510;9;9189
50239;50;50096
50295;50;50150
47640;47;47115
47169;47;47175
06717;6;6044
21669;21;21049
27318;27;27052
47813;47;47019
50560;50;50003
29009;29;29067
45670;45;45108
33115;33;33053
50293;50;50253
33402;33;33004
03780;3;3102
49670;49;49082
15270;15;15023
46623;46;46144
08799;8;8145
22662;22;22122
40541;40;40229
28029;28;28079
25286;25;25151
36791;36;36054
26586;26;26181
44368;44;44189
06429;6;6018
40152;40;40233
38296;38;38023
24124;24;24167
46722;46;46061
08507;8;8246
34159;34;34010
27127;27;27011
18512;18;18069
25584;25;25234
01306;1;1033
36938;36;36004
44770;44;44099
41007;41;41091
27812;27;27065
08755;8;8054
05633;5;5901
05211;5;5029
19294;19;19075
24277;24;24158
16512;16;16041
42165;42;42207
49323;49;49181
28990;28;28150
33426;33;33035
24888;24;24004
42162;42;42087
17180;17;17215
38449;38;38018
28400;28;28061
41012;41;41091
23002;23;23050
08820;8;8169
18891;18;18056
22664;22;22204
36519;36;36024
06894;6;6009
27334;27;27047
15824;15;15085
18538;18;18064
28022;28;28079
31410;31;31261
38510;38;38032
27879;27;27025
24343;24;24024
09003;9;9059
36815;36;36045
06679;6;6063
17130;17;17199
19328;19;19195
13002;13;13034
33115;33;33064
24857;24;24121
22474;22;22143
15968;15;15073
19243;19;19057
50366;50;50184
15127;15;15092
49610;49;49206
10858;10;10215
27615;27;27057
22569;22;22043
26008;26;26089
09351;9;9162
16161;16;16211
37714;37;37071
11649;11;11010
30162;30;30030
13190;13;13035
11370;11;11008
09442;9;9380
44165;44;44028
01213;1;1902
21207;21;21007
19246;19;19218
47620;47;47217
27656;27;27034
33324;33;33019
01308;1;1031
13410;13;13002
46821;46;46107
31229;31;31047
03193;3;3120
36428;36;36014
15181;15;15017
09007;9;9059
25193;25;25120
25286;25;25146
01009;1;1059
19180;19;19171
32520;32;32004
43785;43;43032
02639;2;2069
45950;45;45041
32547;32;32092
29315;29;29017
24416;24;24115
27687;27;27901
14820;14;14021
33746;33;33070
05146;5;5033
37429;37;37318
46167;46;46112
02693;2;2061
19143;19;19242
22421;22;22040
24869;24;24199
46164;46;46191
11314;11;11033
27627;27;27055
08130;8;8260
09195;9;9023
40466;40;40120
46229;46;46194
25549;25;25045
26313;26;26160
27813;27;27065
09341;9;9343
22143;22;22001
24206;24;24042
32646;32;32016
01010;1;1059
46839;46;46069
09370;9;9151
28005;28;28079
02160;2;2043
28413;28;28023
44415;44;44201
02212;2;2023
37256;37;37191
50316;50;50260
16710;16;16204
10697;10;10182
49326;49;49177
37251;37;37184
43839;43;43050
38540;38;38011
21210;21;21079
31587;31;31165
36616;36;36028
18550;18;18105
25410;25;25081
41429;41;41022
31752;31;31244
40220;40;40149
49516;49;49223
15144;15;15005
04858;4;4004
04648;4;4075
33769;33;33017
49252;49;49221
32812;32;32014
40312;40;40195
09345;9;9325
46113;46;46171
03657;30;30043
26315;26;26010
12528;12;12057
02485;2;2086
33578;33;33046
39539;39;39001
24914;24;24116
38004;38;38038
31849;31;31025
19227;19;19173
08261;8;8047
46418;46;46125
08794;8;8027
36515;36;36024
04409;4;4051
31484;31;31156
05560;5;5251
24227;24;24175
25749;25;25249
31228;31;31008
37406;37;37228
04275;4;4092
12123;12;12073
31876;31;31031
34406;34;34028
02141;2;2063
14112;14;14030
15340;15;15061
28936;28;28092
30868;30;30026
37110;37;37034
11596;11;11020
09410;9;9019
30879;30;30026
47453;47;47132
07470;7;7042
37466;37;37281
31452;31;31119
39764;39;39102
43364;43;43039
44220;44;44035
15332;15;15061
26259;26;26069
25616;25;25138
43895;43;43904
49191;49;49148
46367;46;46261
29650;29;29070
38727;38;38007
39805;39;39083
10270;10;10069
25334;25;25902
20567;20;20059
46728;46;46131
32557;32;32092
43738;43;43023
26312;26;26030
25653;25;25115
18190;18;18047
30140;30;30901
38617;38;38017
31153;31;31007
26134;26;26081
05154;5;5266
37186;37;37291
14110;14;14901
47132;47;47165
01206;1;1027
50520;50;50153
31264;31;31174
25351;25;25217
05357;5;5039
34829;34;34036
04630;4;4049
09347;9;9277
32211;32;32027
15337;15;15044
37110;37;37299
41661;41;41008
09693;9;9309
39777;39;39035
17114;17;17205
47500;47;47101
17468;17;17016
15126;15;15092
35530;35;35024
39410;39;39092
36912;36;36026
42368;42;42153
24428;24;24070
30390;30;30016
42113;42;42110
15153;15;15037
32781;32;32044
09246;9;9043
27182;27;27028
35650;35;35014
49212;49;49136
15701;15;15078
04006;4;4013
02314;2;2008
35420;35;35009
46360;46;46077
28108;28;28006
24720;24;24152
19128;19;19169
27339;27;27047
30154;30;30030
31015;31;31201
08259;8;8084
36202;36;36057
06710;6;6153
09490;9;9483
29753;29;29016
05580;5;5018
16370;16;16192
10335;10;10140
28020;28;28079
22822;22;22173
33740;33;33070
48260;48;48034
50367;50;50224
18128;18;18192
39292;39;39027
09511;9;9190
19341;19;19099
08198;8;8205
36679;36;36015
41020;41;41091
09119;9;9258
50195;50;50203
27200;27;27040
38730;38;38053
50513;50;50122
33748;33;33070
48480;48;48011
40331;40;40218
20159;20;20014
47131;47;47071
14012;14;14021
16510;16;16173
43763;43;43097
16890;16;16091
19277;19;19044
44233;44;44168
24389;24;24016
40340;40;40004
07007;7;7040
34880;34;34080
04829;4;4099
10484;10;10902
15855;15;15093
24393;24;24159
29630;29;29025
08914;8;8015
13629;13;13082
42218;42;42130
30592;30;30037
44556;44;44040
18564;18;18051
31867;31;31131
34473;34;34037
17868;17;17107
23489;23;23073
34160;34;34010
13470;13;13015
43415;43;43086
24224;24;24028
22860;22;22006
50334;50;50242
45514;45;45143
49230;49;49264
37532;37;37199
01430;1;1020
27530;27;27009
42313;42;42097
23297;23;23904
32425;32;32040
47219;47;47141
19490;19;19172
14810;14;14015
46439;46;46233
19277;19;19270
48869;48;48096
21340;21;21001
27548;27;27058
06446;6;6160
39728;39;39083
09107;9;9247
05693;5;5249
16312;16;16097
21291;21;21051
25790;25;25149
05140;5;5120
38111;38;38038
27140;27;27028
16251;16;16096
29715;29;29087
34310;34;34029
37785;37;37143
46838;46;46196
47174;47;47221
23379;23;23081
33519;33;33066
33438;33;33014
16649;16;16058
18539;18;18187
42112;42;42192
25714;25;25140
46820;46;46039
27533;27;27009
22196;22;22156
24458;24;24169
18750;18;18162
32612;32;32091
42314;42;42152
32600;32;32085
47280;47;47055
16646;16;16247
05212;5;5259
36585;36;36059
22461;22;22066
25287;25;25167
44547;44;44029
39232;39;39094
28750;28;28045
03769;3;3110
42127;42;42021
16237;16;16118
45684;45;45086
03560;3;3050
44161;44;44097
09349;9;9103
42311;42;42084
22484;22;22233
23499;23;23094
37006;37;37274
47462;47;47020
47320;47;47175
03770;3;3138
42174;42;42014
27335;27;27047
27892;27;27019
07850;7;7054
21110;21;21002
27889;27;27013
12190;12;12124
16760;16;16139
43773;43;43017
10623;10;10135
46183;46;46116
35422;35;35013
25218;25;25072
33736;33;33048
36856;36;36902
16470;16;16279
25183;25;25204
23350;23;23071
20212;20;20058
31460;31;31009
35012;35;35016
27624;27;27055
45440;45;45190
17834;17;17137
43597;43;43018
38615;38;38001
22144;22;22058
30380;30;30035
34126;34;34223
36884;36;36009
